richtung,tagestyp,fahrt_nr,reihenfolge,haltestelle,uhrzeit
Puderbach -> Neuwied,Mo-Fr,4,18,Friedhof Wennenberg,8.30
Puderbach -> Neuwied,Mo-Fr,4,19,Neuwied Beverwijker Ring,8.32
Puderbach -> Neuwied,Mo-Fr,4,20,Ludwig-Erhard-Schule,8.35
Puderbach -> Neuwied,Mo-Fr,4,21,Matthiasberg,8.36
Puderbach -> Neuwied,Mo-Fr,4,22,Stadion A,8.38
Puderbach -> Neuwied,Mo-Fr,4,23,Im Weidchen A,8.39
Puderbach -> Neuwied,Mo-Fr,4,24,Schloßtheater A,8.40
Puderbach -> Neuwied,Mo-Fr,4,25,Marktkirche A,8.42
Puderbach -> Neuwied,Mo-Fr,4,26,Marktstraße B,8.43
Puderbach -> Neuwied,Mo-Fr,4,27,Moltkeplatz A,8.45
Puderbach -> Neuwied,Mo-Fr,4,28,Bahnhof H,8.51
Puderbach -> Neuwied,Mo-Fr,5,1,Puderbach Verbandsgemeinde,8.49
Puderbach -> Neuwied,Mo-Fr,5,2,Hölzchens Mühle,8.50
Puderbach -> Neuwied,Mo-Fr,5,3,Hanroth Hedwigsthal A,8.51
Puderbach -> Neuwied,Mo-Fr,5,4,Raubach In der Au,8.55
Puderbach -> Neuwied,Mo-Fr,5,5,Wienau Flemmer,8.58
Puderbach -> Neuwied,Mo-Fr,5,6,Dierdorf Markt an,9.02
Puderbach -> Neuwied,Mo-Fr,5,7,Dierdorf Markt ab,9.03
Puderbach -> Neuwied,Mo-Fr,5,8,Neuwieder Straße B,9.04
Puderbach -> Neuwied,Mo-Fr,5,9,SZ-Center B,9.06
Puderbach -> Neuwied,Mo-Fr,5,10,Rüscheid Siegel,9.13
Puderbach -> Neuwied,Mo-Fr,5,11,Anhausen Petershof A,9.15
Puderbach -> Neuwied,Mo-Fr,5,12,Schillerstraße A an,9.18
Puderbach -> Neuwied,Mo-Fr,5,13,Schillerstraße A ab,9.19
Puderbach -> Neuwied,Mo-Fr,5,14,Braunsberg/Rheinhöhenweg,9.21
Puderbach -> Neuwied,Mo-Fr,5,15,Gladbach Haus am Pilz,9.23
Puderbach -> Neuwied,Mo-Fr,5,16,Chausseehaus,9.26
Puderbach -> Neuwied,Mo-Fr,5,17,Torney Dierdorfer Straße,9.29
Puderbach -> Neuwied,Mo-Fr,5,18,Friedhof Wennenberg,9.30
Puderbach -> Neuwied,Mo-Fr,5,19,Neuwied Beverwijker Ring,9.32
Puderbach -> Neuwied,Mo-Fr,5,20,Ludwig-Erhard-Schule,9.35
Puderbach -> Neuwied,Mo-Fr,5,21,Matthiasberg,9.36
Puderbach -> Neuwied,Mo-Fr,5,22,Stadion A,9.38
Puderbach -> Neuwied,Mo-Fr,5,23,Im Weidchen A,9.39
Puderbach -> Neuwied,Mo-Fr,5,24,Schloßtheater A,9.40
Puderbach -> Neuwied,Mo-Fr,5,25,Marktkirche A,9.42
Puderbach -> Neuwied,Mo-Fr,5,26,Marktstraße B,9.43
Puderbach -> Neuwied,Mo-Fr,5,27,Moltkeplatz A,9.45
Puderbach -> Neuwied,Mo-Fr,5,28,Bahnhof H,9.51
Puderbach -> Neuwied,Mo-Fr,6,1,Puderbach Verbandsgemeinde,9.49
Puderbach -> Neuwied,Mo-Fr,6,2,Hölzchens Mühle,9.50
Puderbach -> Neuwied,Mo-Fr,6,3,Hanroth Hedwigsthal A,9.51
Puderbach -> Neuwied,Mo-Fr,6,4,Raubach In der Au,9.55
Puderbach -> Neuwied,Mo-Fr,6,5,Wienau Flemmer,9.58
Puderbach -> Neuwied,Mo-Fr,6,6,Dierdorf Markt an,10.02
Puderbach -> Neuwied,Mo-Fr,6,7,Dierdorf Markt ab,10.03
Puderbach -> Neuwied,Mo-Fr,6,8,Neuwieder Straße B,10.04
